run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
native_20260929/generated_synthetic_20261011,3,53970,50300,135,126,0.7786083499005964,0.0,0.7786083499005965,473,0.008764128219381138,62,0.0012326043737574553
native_20260929/generated_synthetic_20261011,4,110395,133097,131,122,0.7796334640634105,0.0,0.7794916489477599,437,0.003958512613795914,79,0.0005935520710459289
native_20260929/generated_synthetic_20261012,0,147,147,147,147,0.897959183673469,0.0,0.7619047619047619,12,0.08163265306122448,60,0.40816326530612246
native_20260929/generated_synthetic_20261012,1,4305,4341,147,147,0.7692461554885073,0.0,0.7571988021193273,143,0.03321718931475029,621,0.143054595715273
native_20260929/generated_synthetic_20261012,2,9180,8888,135,134,0.7787393445226876,0.0,0.774977497749775,81,0.008823529411764706,64,0.0072007200720072
native_20260929/generated_synthetic_20261012,3,53970,50802,135,129,0.7791354128363593,0.0,0.7789653950631865,473,0.008764128219381138,82,0.0016141096807212314
native_20260929/generated_synthetic_20261012,4,110395,123558,131,123,0.7808033424671754,0.0,0.7807993007332589,437,0.003958512613795914,107,0.0008659900613477072
native_20260929/generated_validation_20261011,0,147,147,147,147,0.9115646258503398,0.0,0.6938775510204082,12,0.08163265306122448,54,0.3673469387755102
native_20260929/generated_validation_20261011,1,4305,4394,147,147,0.7659869307581819,0.0,0.7526172052799271,143,0.03321718931475029,620,0.14110150204824762
native_20260929/generated_validation_20261011,2,9180,9332,135,138,0.7826881898160989,0.0,0.7802186026575225,81,0.008823529411764706,50,0.005357908272610373
native_20260929/generated_validation_20261011,3,53970,54002,135,136,0.7785452390652199,0.0,0.7785452390652198,473,0.008764128219381138,95,0.001759194103922077
native_20260929/generated_validation_20261011,4,110395,147844,131,133,0.780521711122756,0.0,0.7804104326181651,437,0.003958512613795914,137,0.0009266524174129487
native_20260929/generated_validation_20261012,0,147,147,147,147,0.9251700680272107,0.0,0.7755102040816326,12,0.08163265306122448,58,0.3945578231292517
native_20260929/generated_validation_20261012,1,4305,4209,147,147,0.766709630847454,0.0,0.7517224994060346,143,0.03321718931475029,705,0.16749821810406273
