run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
native_20260929/generated_validation_20261012,2,8976,8378,132,126,0.7787055766120333,0.0,0.7753640486989735,81,0.009024064171122994,57,0.00680353306278348
native_20260929/generated_validation_20261012,3,52770,48452,132,122,0.7796124630264178,0.0,0.7793486336993313,458,0.00867917377297707,73,0.0015066457524973169
native_20260929/generated_validation_20261012,4,108786,114892,128,118,0.7803850572711766,0.0,0.7803850572711765,430,0.003952714503704521,68,0.0005918601817358911
numeric_digit_relaxed_20260928/generated_validation_20261011,0,143,143,143,143,0.8601398601398601,0.0,0.6293706293706294,11,0.07692307692307693,43,0.3006993006993007
numeric_digit_relaxed_20260928/generated_validation_20261011,1,4204,4201,143,143,0.7665103297638118,0.0,0.7505355867650559,135,0.032112274024738346,566,0.13472982623184956
numeric_digit_relaxed_20260928/generated_validation_20261011,2,8976,8532,132,129,0.7640596834565562,0.0,0.759142053445851,81,0.009024064171122994,245,0.02871542428504454
numeric_digit_relaxed_20260928/generated_validation_20261011,3,52770,49080,132,124,0.7649370706386945,0.0,0.7635085574572127,458,0.00867917377297707,75,0.001528117359413203
numeric_digit_relaxed_20260928/generated_validation_20261011,4,108786,101002,128,117,0.7657046900963675,0.0,0.7639749707926575,430,0.003952714503704521,55,0.0005445436724025267
numeric_digit_relaxed_20260928/generated_validation_20261012,0,143,143,143,143,0.8741258741258742,0.0,0.6293706293706294,11,0.07692307692307693,49,0.34265734265734266
numeric_digit_relaxed_20260928/generated_validation_20261012,1,4204,4230,143,143,0.7504696641496448,0.0,0.7378250591016549,135,0.032112274024738346,488,0.11536643026004728
numeric_digit_relaxed_20260928/generated_validation_20261012,2,8976,8796,132,133,0.7688138507294273,0.0,0.7645520691223283,81,0.009024064171122994,144,0.01637107776261937
numeric_digit_relaxed_20260928/generated_validation_20261012,3,52770,51451,132,129,0.7618933357821843,0.0,0.7601601523779907,458,0.00867917377297707,115,0.002235136343316942
numeric_digit_relaxed_20260928/generated_validation_20261012,4,108786,104315,128,125,0.7665847561933976,0.0,0.7647701672817907,430,0.003952714503704521,44,0.0004217993577146144
numeric_digit_relaxed_20260929/generated_validation_20261011,0,143,143,143,143,0.8601398601398602,0.0,0.5594405594405595,11,0.07692307692307693,32,0.22377622377622378
numeric_digit_relaxed_20260929/generated_validation_20261011,1,4204,4223,143,143,0.6533529854295707,0.0,0.6201752308785223,135,0.032112274024738346,622,0.14728865735259294
numeric_digit_relaxed_20260929/generated_validation_20261011,2,8976,8957,132,132,0.6283371712382213,0.0,0.6151613263369432,81,0.009024064171122994,293,0.03271184548397901
numeric_digit_relaxed_20260929/generated_validation_20261011,3,52770,52108,132,131,0.6308199072962252,0.0,0.6261994319490289,458,0.00867917377297707,495,0.009499501036309204
numeric_digit_relaxed_20260929/generated_validation_20261011,4,108786,129667,128,126,0.6320225098855492,0.0,0.6282091819815373,430,0.003952714503704521,2113,0.016295587929079872
numeric_digit_relaxed_20260929/generated_validation_20261012,0,143,143,143,143,0.8181818181818181,0.0,0.5314685314685315,11,0.07692307692307693,38,0.26573426573426573
numeric_digit_relaxed_20260929/generated_validation_20261012,1,4204,4180,143,143,0.6526529757487742,0.0,0.6129186602870813,135,0.032112274024738346,751,0.17966507177033492
